NodeID, Q1, Q2, P1, P2, DeltaQ, DeltaP, MinOp Violated, Count, No1 Src initial %, No1 Src final %, BACKUP Src initial %, BACKUP Src final %, Chk Initial Src Impact Total %, Chk Final Src Impact Total %
No21,-6250,-6253,442.2058,442.0105,3,0.195343,False,0,100,100,0,0,100,100
CD_4HP,0,-3,514.3875,514.2836,3,0.1038208,False,0,100,100,0,0,100,100
CD_1HP,-0.6,-3.6,125,125,3,0,False,0,100,100,0,0,100,100
CD_1_HP,0,-3,117.2899,117.2393,3,0.05054474,False,0,100,100,0,0,100,100
CD_2HP,0,-3,98.53891,98.44301,3,0.09590149,False,0,100,100,0,0,100,100
CD_5_HP,-0.24,-3.24,91.0803,90.97088,3,0.1094208,False,0,100,100,0,0,100,100
CD_12_HP,0,-3,504.9585,504.844,3,0.1145325,False,0,100,100,0,0,100,100
CD_2_HP,-0.336,-3.336,113.6174,113.5483,3,0.06915283,False,0,100,100,0,0,100,100
CD_3_HP,0,-3,107.3997,107.3091,3,0.09059906,False,0,100,100,0,0,100,100
CD_4_HP,-0.144,-3.144,99.5737,99.47601,3,0.0976944,False,0,100,100,0,0,100,100
CD_6_HP,-0.624,-3.624,87.14713,87.03581,3,0.1113205,False,0,100,100,0,0,100,100
CD_7_HP,-0.408,-3.408,77.32892,77.23366,3,0.09526062,False,0,100,99.99999,0,0,100,99.99999
CD_8_HP,-0.544,-3.544,70,70,3,0,False,0,96.20908,95.35231,3.790921,4.647697,100,100
CD_9_HP,0,-3,56.75548,56.49311,3,0.2623749,False,0,96.20908,95.35231,3.790921,4.647697,100,100
CD_10_HP,0,-3,53.25681,52.91622,3,0.3405838,False,0,96.20908,95.35231,3.790921,4.647697,100,100
CD_11_HP,0,-3,47.44292,46.96068,3,0.4822426,False,0,96.20908,95.35231,3.790921,4.647697,100,100
CD_3HP,-333.332,-336.332,40.15374,39.46654,3,0.6872025,False,0,96.20908,95.35231,3.790921,4.647697,100,100
CD_20_HP,0,-3,124.6943,124.6943,3,7.629395E-06,False,0,100,100,0,0,100,100
CD_19_HP,0,-3,124.4586,124.4471,3,0.01146698,False,0,100,99.99999,0,0,100,99.99999
CD_14_HP,0,-3,124.0998,124.0716,3,0.02816772,False,0,100,100,0,0,100,100
CD_15_HP,0,-3,121.6186,121.4987,3,0.119957,False,0,100,99.99999,0,0,100,99.99999
CD_13_HP,0,-3,117.8125,117.6298,3,0.1827011,False,0,100,100,0,0,100,100
CD_17_HP,-0.592,-3.592,116.5337,116.3508,3,0.1828918,False,0,100,100,0,0,100,100
CD_16_HP,0,-3,114.6221,114.4643,3,0.1577911,False,0,100,99.99998,0,0,100,99.99998
CD_18_HP,-0.672,-3.672,113.6208,113.489,3,0.1318436,False,0,100,100,0,0,100,100
CD_1_IP,0,-3,60,60,3,0,False,0,100,100,0,0,100,100
CD_11_IP,-1.368,-4.368,59.57892,59.53679,3,0.0421257,False,0,100,100,0,0,100,100
CD_12_IP,-0.864,-3.864,59.48755,59.38943,3,0.09811783,False,0,100,100,0,0,100,100
CD_17_IP,-2.76,-5.76,59.43657,59.38678,3,0.04978943,False,0,100,100,0,0,100,100
CD_15_IP,-0.816,-3.816,59.25985,59.21296,3,0.04688263,False,0,100,100,0,0,100,100
CD_32_IP,-8.712,-11.712,59.226,59.18444,3.000001,0.04156113,False,0,100,99.99999,0,0,100,99.99999
CD_14_IP,-2.232,-5.232,59.25696,59.20012,3,0.05683899,False,0,100,100,0,0,100,100
CD_34_IP,-0.984,-3.984,59.25861,59.20794,3,0.05066681,False,0,100,100,0,0,100,100
CD_31_IP,-0.48,-3.48,59.40744,59.34761,3,0.05983734,False,0,100,99.99999,0,0,100,99.99999
CD_2_IP,-1.464,-4.464,60,60,3,0,False,0,100,100,0,0,100,100
CD_13_IP,-2.76,-5.76,59.22448,59.18493,3,0.03955078,False,0,100,100,0,0,100,100
CD_44_IP,-2.376,-5.376,58.48708,58.40468,3,0.08240128,False,0,99.99999,100,0,0,99.99999,100
CD_20_IP,-0.552,-3.552,55.63274,55.50025,3,0.1324959,False,0,99.99999,100,0,0,99.99999,100
CD_19_IP,-0.936,-3.936,55.60599,55.46657,3,0.1394196,False,0,99.99999,100,0,0,99.99999,100
CD_21_IP,-0.288,-3.288,55.57213,55.43212,3,0.1400146,False,0,99.99999,100,0,0,99.99999,100
CD_43_IP,-1.008,-4.008,55.54527,55.40752,3,0.1377487,False,0,99.99999,100,0,0,99.99999,100
CD_22_IP,-1.56,-4.56,55.50083,55.37715,3,0.1236763,False,0,99.99999,99.99998,0,0,99.99999,99.99998
CD_23_IP,-0.672,-3.672,58.38726,58.31801,3,0.06924438,False,0,100,100,0,0,100,100
CD_3_IP,-2.136,-5.136,60,60,3,0,False,0,100,100,0,0,100,100
CD_25_IP,-0.96,-3.96,58.56773,57.83128,3,0.7364502,False,0,100,100,0,0,100,100
CD_24_IP,0,-3,58.56723,57.78804,3,0.7791862,False,0,0,100,0,0,0,100
CD_26_IP,-2.136,-5.136,57.37171,55.66489,3,1.706818,False,0,100,100,0,0,100,100
